provider_name,feed_type,feed_driver_simplified_version,telemetry.score,telemetry.trip_updates_per_minute,trip_distance.score,trip_distance.crow_flies_median,incidents.score,incidents.most_recent_incident_date,average_response.score,average_response.average_response_in_hours,uptime.score,uptime.uptime_percentage,data_freshness.score,data_freshness.avg_diff_in_seconds,vehicles_on_prow.score,vehicles_on_prow.count_vehicles_on_prow
Atom,mds,1.1,1.0,1.0,5.0,1.26209,4.0,2022-08-06,3.0,214.0,0.0,0.5966666666666667,0.0,,0.0,32.0
Awto,gbfs,1,0.0,1.0,0.0,1.49952,1.0,2022-09-28,,0.0,5.0,1.0,1.0,,0.0,160.0
Beam,mds,0.3.0,5.0,44.0,5.0,1.37591,0.0,2022-09-29,5.0,9.0,4.0,0.9940000000000001,1.0,92.7576248,0.0,144.0
Beryl,gbfs,2,,,,,,,,,,,,,,
Billy,gbfs,1,0.0,,0.0,,3.0,2022-09-22,5.0,48.0,4.0,0.99,1.0,,0.0,2.0
Bird,mds,1.0,4.0,5.0,5.0,1.332584,3.0,2022-09-04,1.0,356.0,4.0,0.9891666666666666,0.0,186.69273225,0.0,96.0
Bird,gbfs,2,0.0,,0.0,,3.0,2022-08-21,,0.0,5.0,1.0,1.0,,5.0,0.0
Bit Mobility,mds,1.0,,,,,3.0,2022-09-22,,0.0,3.0,0.98,0.0,,0.0,262.0
BoltEU,mds,1.0,4.0,7.0,5.0,1.245318823529412,3.0,2022-09-04,2.0,202.0,5.0,1.0,3.0,18.05588032352941,0.0,97.0
BoltEU,gbfs,2,0.0,1.0,0.0,1.49996,2.0,2022-07-10,,0.0,5.0,1.0,1.0,,5.0,0.0
COOLTRA,gbfs,1,0.0,1.0,0.0,1.5,3.0,2022-09-13,,0.0,5.0,1.0,1.0,,0.0,61.0
Check,gbfs,1,0.0,1.0,0.0,1.500005,1.0,2022-09-28,0.0,626.0,5.0,1.0,1.0,,0.0,221.0
City Bike,gbfs,2,0.0,1.0,0.0,1.49999,3.0,2022-09-21,,0.0,5.0,1.0,1.0,,5.0,0.0
Dott,mds,0.4.0,4.0,6.0,5.0,1.278908,2.0,2022-09-17,1.0,434.0,5.0,1.0,2.0,40.07781179999999,1.0,205.0
Felyx,gbfs,1,0.0,1.0,0.0,1.500006666666667,1.0,2022-09-27,2.0,404.0,5.0,1.0,1.0,,0.0,136.0
Freebike,gbfs,2,0.0,1.0,0.0,1.49999,0.0,2022-09-29,,0.0,5.0,1.0,1.0,,5.0,0.0
GoSharing,mds,1.2.0,1.0,1.0,5.0,2.2512,0.0,2022-09-29,,0.0,5.0,1.0,0.0,3681.4,0.0,103.0
Goteborg,gbfs,1,0.0,1.0,0.0,1.50002,3.0,2022-09-18,,0.0,0.0,0.94,1.0,,0.0,179.0
HELBIZ,mds,1.0,5.0,8.0,5.0,1.695795,3.0,2022-09-07,0.0,368.0,5.0,1.0,2.0,29.242347,0.0,90.0
Inurba,gbfs,2,0.0,1.0,0.0,1.50001,4.0,2022-08-26,0.0,1076.0,5.0,1.0,1.0,,5.0,0.0
LeasysGO!,mds,1.1,,,,,5.0,2022-02-20,,0.0,5.0,1.0,0.0,,5.0,0.0
Lime,mds,0.3.2,5.0,19.0,5.0,1.229628,2.0,2022-09-23,0.0,555.0,5.0,1.0,0.0,89.99331906666664,0.0,264.0
Lime,gbfs,1,0.0,,0.0,,5.0,2022-05-26,,0.0,0.0,0.88,1.0,,5.0,0.0
Link,gbfs,2,0.0,1.0,0.0,1.49999,3.0,2022-09-01,,0.0,5.0,1.0,1.0,,5.0,0.0
Mimoto,gbfs,1,0.0,,0.0,,4.0,2022-07-24,,0.0,5.0,1.0,1.0,,0.0,18.0
Mobility Go,gbfs,2,0.0,,0.0,,4.0,2022-07-07,,0.0,5.0,1.0,1.0,,5.0,0.0
Pick_e_bike,gbfs,2,0.0,,0.0,,4.0,2022-08-19,,0.0,5.0,1.0,1.0,,5.0,0.0
Pony,mds,1.0,5.0,,,,2.0,2022-09-22,0.0,400.0,5.0,1.0,0.0,,0.0,105.0
Pony,gbfs,1,0.0,,0.0,,3.0,2022-09-22,0.0,177.0,5.0,1.0,1.0,,5.0,0.0
Poppy,gbfs,1,0.0,1.0,0.0,1.5,2.0,2022-09-24,,0.0,5.0,1.0,1.0,,0.0,245.0
Publibike,gbfs,1,0.0,1.0,0.0,1.49998,3.0,2022-09-21,1.0,245.0,5.0,1.0,1.0,,0.0,760.0
Renault,gbfs,1,0.0,,0.0,,5.0,,,0.0,5.0,1.0,1.0,,5.0,0.0
RideMovi,mds,1.0,3.0,4.0,1.0,0.0,1.0,2022-09-27,2.0,379.0,4.0,0.985,2.0,73.411802,0.0,10342.0
Roland,gbfs,2,0.0,1.0,0.0,1.49999,0.0,2022-09-29,,0.0,5.0,1.0,1.0,,5.0,0.0
Ryde,mds,1.0,1.0,1.0,5.0,1.19291,5.0,2022-06-01,3.0,54.0,5.0,1.0,0.0,,0.0,187.0
SHARE-NOW,mds,1.1,5.0,,,,0.0,2022-09-29,,0.0,5.0,1.0,0.0,238.005102,0.0,220.0
Seven Group,mds,1.0,,,,,3.0,2022-09-06,2.0,186.0,4.0,0.98125,0.0,192.1572886666667,3.0,2.0
